Dataset Size	Insert Min	Insert Avg	Insert Max	Search Min	Search Avg	Search Max
1		1		1		1		0		0		0
5		1		2		4		0		0		3
10		1		3		5		0		1		4
50		1		5		8		2		5		7
100		1		6		9		2		5		7
500		1		8		12		5		8		10
1000		1		9		13		7		9		11
5000		1		11		16		4		10		13
10000		0		12		17		9		12		14
50000		0		14		19		10		13		16
